	01n	01e	01i	01j	01jd	02d	02e	02i	02n	03a	03e	03n	03s	04i	04n	04s	05ei	05en	05n	05no	05s	06a	06d	06l	06n	06q	06v	07a	07n	07q	08a	08c	08q	09n	09p	09que	09quel	10n	10q	10u	11n	11o	11v	11vr	12d	12k	12t	13n	13nj	13t	14b	14i	14ne	14ni	15k	15n	15s	16b	16k	16l	16n	16ni	16t	16u	17b	17j	17kai	17kaz	17ni	17no	18j	18k	18n	19a	19d	19e	20d	20dd	20i	20m	21h	21i	22b	22k	23b	23he	23hi	24a	24b	24bd	24e	25b	25d	25em	25er	26a	26s	26v	27e	27h	27ka	27ki	28d	28dx	28n	29WH	29X	29xa	30e	30x	31a	31i	31k	31s	32k	32w	33CL	33GN	34a	34m	34y	35a	35o	35u	36b	36GN	36r	36y	37b	37p	38d	38k	38m	39b	39n	39t	40ba	40bi	40e	40i
spec.know	6	1	6	6	6	6	6	1	6	6	6	6	1	6	1	6	1	6	6	6	6	6	1	6	6	6	6	1	6	6	1	6	6	6	6	6	1	6	1	6	6	6	1	6	6	6	6	6	1	6	6	6	1	6	6	6	1	6	1	6	6	6	6	6	6	6	1	6	6	6	6	1	6	6	6	1	1	6	6	6	6	1	6	1	1	6	6	1	1	6	6	6	6	6	1	6	6	1	1	6	6	6	6	6	1	1	6	6	6	1	6	6	6	1	6	1	6	1	6	6	1	6	6	6	6	1	6	6	1	6	6	1	6	1	6	6	1	6	6	6
spec.unkn	6	1	1	6	6	6	6	1	6	6	6	6	1	6	1	6	1	6	6	6	6	1	6	6	6	6	6	1	6	1	1	6	6	6	6	6	1	6	1	6	6	6	1	6	6	1	6	6	1	6	6	6	1	6	6	6	1	6	6	6	6	6	1	6	6	6	6	1	6	6	6	1	6	6	6	1	1	6	6	6	6	1	6	1	1	6	6	1	1	6	6	6	6	6	1	6	6	1	6	6	6	1	6	6	1	1	6	6	6	1	6	6	6	1	6	1	6	1	6	6	1	6	1	6	6	1	6	6	1	6	6	1	6	1	6	6	6	1	6	6
irr.nonsp	6	1	1	6	6	1	6	1	6	6	6	6	1	6	1	6	1	6	6	6	6	1	6	6	6	6	6	1	6	1	1	6	6	6	6	6	1	6	1	6	6	6	1	6	6	1	1	6	1	6	6	6	1	6	6	6	1	6	6	1	6	1	1	6	6	6	6	1	6	1	6	1	6	6	6	1	6	6	1	6	6	1	1	1	1	1	6	6	1	6	6	6	6	1	6	6	6	1	6	6	6	1	1	6	6	1	6	6	6	1	6	6	6	1	6	1	6	1	1	1	6	1	6	6	1	6	6	6	6	1	6	1	6	1	6	6	6	1	6	6
question	6	1	1	1	6	1	1	1	6	1	1	6	1	6	1	6	1	6	6	1	6	1	6	6	6	1	6	1	6	1	1	1	6	6	1	1	1	1	1	6	6	6	1	1	6	1	1	6	1	6	1	1	6	6	1	6	1	6	6	1	6	1	1	6	6	6	6	1	6	1	6	1	6	1	1	6	6	6	1	6	1	1	1	1	1	1	1	6	1	1	6	6	6	1	6	6	6	1	6	6	1	1	1	6	6	1	6	6	6	1	6	1	6	1	6	1	1	1	1	1	6	1	6	6	1	6	6	6	6	1	6	1	6	1	6	6	6	6	6	1
condit	6	1	1	1	6	1	1	1	6	1	1	6	1	6	1	6	1	6	6	6	6	1	6	6	6	1	6	1	6	1	1	1	6	6	1	1	1	6	1	6	6	6	1	1	1	1	1	6	1	1	1	1	6	6	1	6	1	1	6	1	6	1	1	6	6	6	6	1	6	1	6	1	6	1	1	6	6	6	1	6	6	1	1	1	1	1	6	6	1	1	6	6	6	1	6	1	6	1	6	1	6	1	1	6	6	1	6	6	6	1	6	1	6	1	6	1	1	1	1	1	6	1	6	6	1	6	6	6	6	1	6	1	6	1	6	6	6	6	6	1
indir.neg	6	1	1	1	1	1	1	1	6	1	1	6	6	6	1	6	6	6	1	1	6	6	6	6	6	1	6	6	1	1	1	1	6	6	1	1	6	1	1	6	1	6	6	1	6	6	1	1	6	1	1	1	6	6	1	6	1	1	6	1	6	6	6	6	6	1	6	6	6	1	1	6	6	1	1	6	6	6	1	6	1	1	1	1	1	1	1	6	1	6	6	6	1	6	6	1	6	1	6	6	1	6	1	6	6	6	1	6	1	6	1	1	6	1	1	6	1	1	6	1	6	6	6	1	1	6	1	6	6	1	6	6	1	1	6	1	6	6	6	1
compar	6	6	1	1	1	1	1	6	6	1	1	6	6	6	1	1	6	6	6	1	6	6	6	6	6	1	6	6	6	1	6	1	1	1	1	1	6	6	6	1	6	1	6	6	1	6	6	6	6	1	1	1	6	6	1	6	6	1	6	1	6	6	6	6	1	6	6	6	6	1	1	6	6	1	1	6	6	1	6	6	6	6	1	6	6	1	6	6	6	1	6	6	1	6	6	1	6	9	6	1	1	6	1	6	6	6	6	1	1	6	6	6	1	6	1	6	1	6	6	1	6	6	6	1	6	6	1	6	6	1	6	6	1	6	6	1	6	6	1	1
dir.neg	1	6	6	6	6	6	6	6	1	1	1	1	6	1	1	6	6	1	1	6	6	6	6	6	1	6	6	6	1	1	6	1	6	6	1	1	6	1	6	6	1	6	6	6	6	6	1	1	6	6	6	6	6	1	6	1	6	6	6	6	1	6	6	6	6	1	6	6	1	6	6	6	1	1	1	6	6	6	6	1	1	1	1	1	1	1	1	6	6	6	1	6	1	6	6	6	1	9	6	6	1	6	1	6	6	6	1	6	1	6	1	1	6	6	1	6	1	1	1	6	6	6	6	1	1	6	1	1	6	1	6	6	1	6	6	1	6	6	6	1
free.ch	6	6	1	6	1	1	6	6	6	1	6	6	6	6	6	1	6	6	6	6	1	9	6	1	6	6	1	6	6	1	6	6	1	1	6	1	6	6	6	1	6	1	6	6	1	6	6	6	6	1	1	6	6	6	1	6	6	6	6	6	6	6	6	1	1	6	6	6	6	6	1	6	6	1	6	6	6	1	6	6	6	6	1	6	6	1	6	6	6	1	6	1	1	6	6	1	6	9	6	1	6	6	6	1	6	6	6	1	6	6	6	6	1	6	1	6	1	6	6	6	6	6	6	1	6	6	1	6	6	1	1	6	6	6	1	6	6	6	1	6
